Municipios;Sexo;Periodo;Total
29014 Alpandeire;Hombres;2022;133
29014 Alpandeire;Hombres;2021;127
29014 Alpandeire;Hombres;2020;129
29014 Alpandeire;Hombres;2019;131
29014 Alpandeire;Hombres;2018;129
29014 Alpandeire;Hombres;2017;125
29014 Alpandeire;Hombres;2016;125
29014 Alpandeire;Hombres;2015;132
29014 Alpandeire;Mujeres;2025;118
29014 Alpandeire;Mujeres;2024;123
29014 Alpandeire;Mujeres;2023;142
29014 Alpandeire;Mujeres;2022;133
29014 Alpandeire;Mujeres;2021;134
29014 Alpandeire;Mujeres;2020;134
29014 Alpandeire;Mujeres;2019;129
29014 Alpandeire;Mujeres;2018;123
29014 Alpandeire;Mujeres;2017;119
29014 Alpandeire;Mujeres;2016;121
29014 Alpandeire;Mujeres;2015;125
29015 Antequera;Total;2025;41.849
29015 Antequera;Total;2024;41.619
29015 Antequera;Total;2023;41.178
29015 Antequera;Total;2022;41.184
29015 Antequera;Total;2021;41.348
29015 Antequera;Total;2020;41.318
29015 Antequera;Total;2019;41.239
29015 Antequera;Total;2018;41.154
29015 Antequera;Total;2017;41.104
29015 Antequera;Total;2016;41.065
29015 Antequera;Total;2015;41.141
29015 Antequera;Hombres;2025;20.426
29015 Antequera;Hombres;2024;20.368
29015 Antequera;Hombres;2023;20.208
29015 Antequera;Hombres;2022;20.163
29015 Antequera;Hombres;2021;20.247
29015 Antequera;Hombres;2020;20.215
29015 Antequera;Hombres;2019;20.180
29015 Antequera;Hombres;2018;20.161
29015 Antequera;Hombres;2017;20.132
29015 Antequera;Hombres;2016;20.192
29015 Antequera;Hombres;2015;20.224
29015 Antequera;Mujeres;2025;21.423
29015 Antequera;Mujeres;2024;21.251
29015 Antequera;Mujeres;2023;20.970
29015 Antequera;Mujeres;2022;21.021
29015 Antequera;Mujeres;2021;21.101
29015 Antequera;Mujeres;2020;21.103
29015 Antequera;Mujeres;2019;21.059
29015 Antequera;Mujeres;2018;20.993
29015 Antequera;Mujeres;2017;20.972
29015 Antequera;Mujeres;2016;20.873
29015 Antequera;Mujeres;2015;20.917
29016 Árchez;Total;2025;441
29016 Árchez;Total;2024;411
29016 Árchez;Total;2023;391
29016 Árchez;Total;2022;396
29016 Árchez;Total;2021;398
29016 Árchez;Total;2020;385
29016 Árchez;Total;2019;385
29016 Árchez;Total;2018;391
29016 Árchez;Total;2017;405
29016 Árchez;Total;2016;428
29016 Árchez;Total;2015;436
29016 Árchez;Hombres;2025;224
29016 Árchez;Hombres;2024;210
29016 Árchez;Hombres;2023;197
29016 Árchez;Hombres;2022;198
29016 Árchez;Hombres;2021;204
29016 Árchez;Hombres;2020;201
29016 Árchez;Hombres;2019;202
29016 Árchez;Hombres;2018;200
29016 Árchez;Hombres;2017;205
29016 Árchez;Hombres;2016;215
29016 Árchez;Hombres;2015;226
29016 Árchez;Mujeres;2025;217
29016 Árchez;Mujeres;2024;201
29016 Árchez;Mujeres;2023;194
29016 Árchez;Mujeres;2022;198
29016 Árchez;Mujeres;2021;194
29016 Árchez;Mujeres;2020;184
29016 Árchez;Mujeres;2019;183
29016 Árchez;Mujeres;2018;191
29016 Árchez;Mujeres;2017;200
29016 Árchez;Mujeres;2016;213
29016 Árchez;Mujeres;2015;210
29017 Archidona;Total;2025;8.105
29017 Archidona;Total;2024;8.042
29017 Archidona;Total;2023;8.050
29017 Archidona;Total;2022;8.024
29017 Archidona;Total;2021;8.114
29017 Archidona;Total;2020;8.168
29017 Archidona;Total;2019;8.238
29017 Archidona;Total;2018;8.288
29017 Archidona;Total;2017;8.398
29017 Archidona;Total;2016;8.499
29017 Archidona;Total;2015;8.490
29017 Archidona;Hombres;2025;4.090
29017 Archidona;Hombres;2024;4.049
29017 Archidona;Hombres;2023;4.075
29017 Archidona;Hombres;2022;4.079
29017 Archidona;Hombres;2021;4.128
29017 Archidona;Hombres;2020;4.163
29017 Archidona;Hombres;2019;4.213
29017 Archidona;Hombres;2018;4.233
29017 Archidona;Hombres;2017;4.264
29017 Archidona;Hombres;2016;4.330
29017 Archidona;Hombres;2015;4.278
29017 Archidona;Mujeres;2025;4.015
29017 Archidona;Mujeres;2024;3.993
29017 Archidona;Mujeres;2023;3.975
29017 Archidona;Mujeres;2022;3.945
29017 Archidona;Mujeres;2021;3.986
29017 Archidona;Mujeres;2020;4.005
29017 Archidona;Mujeres;2019;4.025
29017 Archidona;Mujeres;2018;4.055
29017 Archidona;Mujeres;2017;4.134
29017 Archidona;Mujeres;2016;4.169
29017 Archidona;Mujeres;2015;4.212
29018 Ardales;Total;2025;2.524
29018 Ardales;Total;2024;2.516
29018 Ardales;Total;2023;2.522
29018 Ardales;Total;2022;2.520
29018 Ardales;Total;2021;2.518
29018 Ardales;Total;2020;2.506
29018 Ardales;Total;2019;2.500
29018 Ardales;Total;2018;2.493
29018 Ardales;Total;2017;2.469
29018 Ardales;Total;2016;2.507
29018 Ardales;Total;2015;2.527
29018 Ardales;Hombres;2025;1.274
29018 Ardales;Hombres;2024;1.270
29018 Ardales;Hombres;2023;1.275
29018 Ardales;Hombres;2022;1.272
29018 Ardales;Hombres;2021;1.281
29018 Ardales;Hombres;2020;1.270
29018 Ardales;Hombres;2019;1.273
29018 Ardales;Hombres;2018;1.272
29018 Ardales;Hombres;2017;1.263
29018 Ardales;Hombres;2016;1.271
29018 Ardales;Hombres;2015;1.276
29018 Ardales;Mujeres;2025;1.250
29018 Ardales;Mujeres;2024;1.246
29018 Ardales;Mujeres;2023;1.247
29018 Ardales;Mujeres;2022;1.248
29018 Ardales;Mujeres;2021;1.237
29018 Ardales;Mujeres;2020;1.236
29018 Ardales;Mujeres;2019;1.227
29018 Ardales;Mujeres;2018;1.221
29018 Ardales;Mujeres;2017;1.206
29018 Ardales;Mujeres;2016;1.236
29018 Ardales;Mujeres;2015;1.251
29019 Arenas;Total;2025;1.291
29019 Arenas;Total;2024;1.259
29019 Arenas;Total;2023;1.264
29019 Arenas;Total;2022;1.249
29019 Arenas;Total;2021;1.181
29019 Arenas;Total;2020;1.177
29019 Arenas;Total;2019;1.156
29019 Arenas;Total;2018;1.177
29019 Arenas;Total;2017;1.190
29019 Arenas;Total;2016;1.205
29019 Arenas;Total;2015;1.219
29019 Arenas;Hombres;2025;680
29019 Arenas;Hombres;2024;655
29019 Arenas;Hombres;2023;650
29019 Arenas;Hombres;2022;641
29019 Arenas;Hombres;2021;615
29019 Arenas;Hombres;2020;617
29019 Arenas;Hombres;2019;611
29019 Arenas;Hombres;2018;619
29019 Arenas;Hombres;2017;616
29019 Arenas;Hombres;2016;627
29019 Arenas;Hombres;2015;640
29019 Arenas;Mujeres;2025;611
29019 Arenas;Mujeres;2024;604
29019 Arenas;Mujeres;2023;614
29019 Arenas;Mujeres;2022;608
29019 Arenas;Mujeres;2021;566
29019 Arenas;Mujeres;2020;560
29019 Arenas;Mujeres;2019;545
29019 Arenas;Mujeres;2018;558
29019 Arenas;Mujeres;2017;574
29019 Arenas;Mujeres;2016;578
29019 Arenas;Mujeres;2015;579
29020 Arriate;Total;2025;4.049
29020 Arriate;Total;2024;4.073
29020 Arriate;Total;2023;4.068
29020 Arriate;Total;2022;4.110
29020 Arriate;Total;2021;4.112
29020 Arriate;Total;2020;4.082
29020 Arriate;Total;2019;4.102
29020 Arriate;Total;2018;4.147
29020 Arriate;Total;2017;4.094
29020 Arriate;Total;2016;4.114
29020 Arriate;Total;2015;4.157
29020 Arriate;Hombres;2025;2.001
29020 Arriate;Hombres;2024;2.012
29020 Arriate;Hombres;2023;2.010
29020 Arriate;Hombres;2022;2.026
29020 Arriate;Hombres;2021;2.036
29020 Arriate;Hombres;2020;2.017
29020 Arriate;Hombres;2019;2.033
29020 Arriate;Hombres;2018;2.051
29020 Arriate;Hombres;2017;2.015
29020 Arriate;Hombres;2016;2.029
29020 Arriate;Hombres;2015;2.049
29020 Arriate;Mujeres;2025;2.048
29020 Arriate;Mujeres;2024;2.061
29020 Arriate;Mujeres;2023;2.058
29020 Arriate;Mujeres;2022;2.084
29020 Arriate;Mujeres;2021;2.076
29020 Arriate;Mujeres;2020;2.065
29020 Arriate;Mujeres;2019;2.069
29020 Arriate;Mujeres;2018;2.096
29020 Arriate;Mujeres;2017;2.079
29020 Arriate;Mujeres;2016;2.085
29020 Arriate;Mujeres;2015;2.108
29021 Atajate;Total;2025;168
29021 Atajate;Total;2024;187
29021 Atajate;Total;2023;185
29021 Atajate;Total;2022;183
29021 Atajate;Total;2021;179
29021 Atajate;Total;2020;169
29021 Atajate;Total;2019;168
29021 Atajate;Total;2018;169
29021 Atajate;Total;2017;167
29021 Atajate;Total;2016;171
29021 Atajate;Total;2015;158
29021 Atajate;Hombres;2025;92
29021 Atajate;Hombres;2024;97
29021 Atajate;Hombres;2023;98
29021 Atajate;Hombres;2022;103
29021 Atajate;Hombres;2021;100
29021 Atajate;Hombres;2020;92
29021 Atajate;Hombres;2019;91
29021 Atajate;Hombres;2018;91
29021 Atajate;Hombres;2017;89
29021 Atajate;Hombres;2016;90
29021 Atajate;Hombres;2015;83
29021 Atajate;Mujeres;2025;76
29021 Atajate;Mujeres;2024;90
29021 Atajate;Mujeres;2023;87
29021 Atajate;Mujeres;2022;80
